Designator,Mid X,Mid Y,Rotation,Layer
C1001,26.230002,23.2,180.0,top
C1002,24.230002,23.2,0.0,top
C1201,19.250001,10.500001,180.0,bottom
C1202,19.250002,9.0,180.0,bottom
C1203,16.850002,4.800001,270.0,bottom
C1301,24.599999,4.6,90.0,bottom
C1302,26.1,4.600001,90.0,bottom
C1303,30.3,2.2,180.0,bottom
C1401,23.999999,12.1,90.0,bottom
C1402,25.5,12.100001,90.0,bottom
C1403,29.7,9.7,180.0,bottom
C1501,36.400001,7.250001,180.0,bottom
C1502,36.400002,5.75,180.0,bottom
C1503,34.000001,1.55,270.0,bottom
C1601,33.8,13.85,90.0,bottom
C1602,35.300001,13.850001,90.0,bottom
C1603,39.5,11.45,180.0,bottom
C1701,4.550001,13.200001,180.0,bottom
C1702,4.550002,11.7,180.0,bottom
C1703,2.150001,7.500001,270.0,bottom
C1801,44.0,7.283752,180.0,bottom
C1802,44.0,5.783753,180.0,bottom
C1803,41.6,1.583752,270.0,bottom
C1901,47.107501,16.8,180.0,bottom
C1902,47.107502,15.299999,180.0,bottom
C1903,44.707501,11.1,270.0,bottom
C2001,51.300001,10.29625,180.0,bottom
C2002,51.300002,8.796249,180.0,bottom
C2003,48.900001,4.59625,270.0,bottom
C2101,58.9,7.209999,180.0,bottom
C2102,58.900001,5.709998,180.0,bottom
C2103,56.5,1.509999,270.0,bottom
C2201,4.4,28.275003,180.0,bottom
C2202,4.400001,26.775002,180.0,bottom
C2203,2.0,22.575003,270.0,bottom
C2301,64.299999,33.0,270.0,bottom
C2302,62.799998,32.999999,270.0,bottom
C2303,58.599999,35.4,0.0,bottom
C2401,57.800002,27.599998,270.0,bottom
C2402,56.3,27.599998,270.0,bottom
C2403,52.1,29.999999,0.0,bottom
C2501,59.1,19.892497,270.0,bottom
C2502,57.599999,19.892496,270.0,bottom
C2503,53.4,22.292497,0.0,bottom
C2601,46.692502,20.800002,90.0,top
C2602,45.1925,20.800002,90.0,top
C2603,40.9925,18.400003,180.0,top
C2701,55.65,16.800001,90.0,top
C2702,54.149999,16.800002,90.0,top
C2703,49.95,14.400001,180.0,top
C2801,65.649999,17.75,0.0,bottom
C2802,65.649998,19.250001,0.0,bottom
C2803,68.049999,23.45,90.0,bottom
C2901,62.05,12.542497,270.0,bottom
C2902,60.549999,12.542496,270.0,bottom
C2903,56.35,14.942497,0.0,bottom
C3002,62.4,38.6,180.0,top
C401,39.4,30.675,180.0,top
C402,39.4,32.6,180.0,top
C403,39.75,28.6,90.0,top
C407,31.6,14.98,270.0,top
C408,31.6,10.75,270.0,top
C409,31.6,6.4,270.0,top
C410,31.6,2.13,270.0,top
C501,12.75,8.25,270.0,top
